Target_Lato,Target_Angolo,Fmin_Lato,Fmin_Angolo,Fmin_Errore,Fmin_Tempo_s,Swarm_Lato,Swarm_Angolo,Swarm_Errore,Swarm_Tempo_s
0.5,0,0.499999999985618,1.57079632678289,1.92222645381045e-10,79.7271378,0.500000000000713,1.5707963267949,9.36590112606066e-12,580.5123575
0.5,0.174532925199433,0.500000000011098,0.174532925178933,1.55535004282516e-10,67.0463402,0.500000000002199,0.174532925202322,2.96477092555429e-11,1207.3504024
0.5,0.785398163397448,0.500000000011553,0.785398163462848,1.99882992003332e-10,74.5924985,0.500000000001135,0.785398163389837,2.18155254423244e-11,1248.190875
0.5,1.0471975511966,0.500000000005959,1.04719755123488,1.19435532236048e-10,69.9480031,0.50000000000083,1.04719755120987,3.48014027311067e-11,1484.7053287
0.7,0,0.699999999984892,1.57079632679693,1.97429322621195e-10,69.142903,0.699999999997269,1.5707963267949,3.56513895542084e-11,1412.8689003
0.7,0.174532925199433,0.699999999999347,0.174532925157393,1.81514035334217e-10,175.7465729,0.699999999998177,0.174532925182966,7.46949371586894e-11,1646.9378806
0.7,0.785398163397448,0.700000000008101,0.785398163399589,8.77376043896842e-11,108.999333,0.699999999995129,0.785398163380478,7.80623472979557e-11,1656.9992258
0.7,1.0471975511966,0.700000000008935,1.04719755119913,1.02568521019675e-10,95.525177,0.700000000004266,1.04719755120957,6.90584305476988e-11,1532.9673831
1.5,0,1.4999999999925,3.04575596646013e-11,3.28892086310993e-10,75.2067579,1.50000000000606,0,7.85362104169321e-11,593.3405854
1.5,0.174532925199433,1.50000000000359,0.174532925194209,6.94685228292637e-11,63.1718915,1.5000000000076,0.174532925197495,9.80807207319449e-11,719.5519767
1.5,0.785398163397448,0.616232925286264,0.7853958597707,0.794818474841973,63.7803459,1.5000000000023,0.785398163396083,2.5662366250912e-11,852.3501678
1.5,1.0471975511966,1.50000000000391,1.04719755121137,1.31308509809513e-10,64.4481752,1.50000000000481,1.04719755119503,5.3487370350773e-11,1001.0933515
3,0,3.62508356065199,-2.59639795046949e-07,0.506445154976332,51.8944919,2.99999999999806,1.5707963267949,2.47587584805668e-11,357.2852205
3,0.174532925199433,2.99999999999086,0.174532925188835,2.44778943235545e-10,59.1230836,2.99999999999562,0.174532925203489,9.94533491991591e-11,1603.8398501
3,0.785398163397448,2.55690612324904,0.785398383868031,0.381461289013618,64.3524462,3.0000000000036,0.78539816340158,7.35552541679123e-11,1031.6872384
3,1.0471975511966,2.99999999999225,1.0471975511978,8.21996935283465e-11,81.056004,3.00000000000558,1.04719755119663,5.74012125241569e-11,1403.8409146
